NAME,STATEFP,INTPTLAT,INTPTLON
Caroline,51,+38.0280328,-077.3537363
Carroll,19,+42.0395021,-094.8676496
Carroll,13,+33.5822366,-085.0805272
Carroll,05,+36.3373704,-093.5409718
Carroll,28,+33.4407948,-089.9188870
Carroll,18,+40.5849801,-086.5651412
Carroll,24,+39.5633280,-077.0153297
Carroll,47,+35.9657478,-088.4523791
Carroll,51,+36.7319632,-080.7278307
Carroll,33,+43.8677742,-071.2015596
Carroll,39,+40.5798841,-081.0907870
Carroll,21,+38.6683939,-085.1240238
Carroll,29,+39.4273754,-093.5002266
Carroll,17,+42.0709000,-089.9241894
Carson,48,+35.4054961,-101.3553558
Carson City,32,+39.1530598,-119.7473681
Carter,30,+45.5168247,-104.5153243
Carter,40,+34.2518484,-097.2879273
Carter,47,+36.2847441,-082.1265932
Carter,21,+38.3140935,-083.0389885
Carter,29,+36.9448579,-090.9457051
Carteret,37,+34.8583428,-076.5358602
Carver,27,+44.8213196,-093.8000913
Cascade,30,+47.3165751,-111.3502622
Casey,21,+37.3219623,-084.9282195
Cass,29,+38.6464737,-094.3545467
Cass,18,+40.7537986,-086.3551685
Cass,31,+40.9098778,-096.1406086
Cass,38,+46.9270033,-097.2523747
Cass,27,+46.9517447,-094.3337048
Cass,48,+33.0836979,-094.3575786
Cass,17,+39.9692024,-090.2457045
Cass,26,+41.9172431,-086.0001420
Cass,19,+41.3338235,-094.9333023
Cassia,16,+42.2823130,-113.6263276
Castro,48,+34.5336207,-102.2587856
Caswell,37,+36.3942984,-079.3396090
Catahoula,22,+31.6665170,-091.8467030
Catawba,37,+35.6618826,-081.2149057
Cataño,72,+18.4446135,-066.1488190
Catoosa,13,+34.9002118,-085.1393851
Catron,35,+33.9016208,-108.3919284
Cattaraugus,36,+42.2390986,-078.6623320
Cavalier,38,+48.7684388,-098.4637903
Cayey,72,+18.1036240,-066.1516668
Cayuga,36,+43.0085456,-076.5745866
Cecil,24,+39.5623537,-075.9415852
Cedar,19,+41.7723600,-091.1326105
Cedar,29,+37.7336549,-093.8500144
Cedar,31,+42.6045604,-097.2568696
Ceiba,72,+18.2532647,-065.6207649
Centre,42,+40.9093218,-077.8476670
Cerro Gordo,19,+43.0749751,-093.2509646
Chaffee,08,+38.7345986,-106.3000246
Chambers,01,+32.9155039,-085.3940321
Chambers,48,+29.6963741,-094.6694454
Champaign,39,+40.1327753,-083.7676037
Champaign,17,+40.1389845,-088.1969749
Chariton,29,+39.5179685,-092.9616205
Charles,24,+38.4728532,-077.0154272
Charles City,51,+37.3610537,-077.0541700
Charles Mix,46,+43.2061853,-098.5951429
Charleston,45,+32.8004582,-079.9424800
Charlevoix,26,+45.6185538,-085.5436841
Charlotte,51,+37.0090421,-078.6585682
Charlotte,12,+26.9063964,-082.0036572
Charlottesville,51,+38.0376579,-078.4853806
Charlton,13,+30.7799036,-082.1396442
Chase,20,+38.2994749,-096.5940289
Chase,31,+40.5303903,-101.6941918
Chatham,37,+35.7049939,-079.2514542
Chatham,13,+31.9804037,-081.0851840
Chattahoochee,13,+32.3474454,-084.7880206
Chattooga,13,+34.4741785,-085.3452894
Chautauqua,36,+42.3042159,-079.4075949
Chautauqua,20,+37.1542592,-096.2453962
Chaves,35,+33.3616045,-104.4698374
Cheatham,47,+36.2551687,-087.1008077
Cheboygan,26,+45.4760217,-084.4954307
Chelan,53,+47.8609739,-120.6190410
Chemung,36,+42.1486972,-076.7524712
Chenango,36,+42.4780238,-075.6022407
Cherokee,01,+34.0695153,-085.6542417
Cherokee,20,+37.1693922,-094.8456975
Cherokee,40,+35.9043668,-094.9967964
Cherokee,37,+35.1371499,-084.0614491
Cherokee,48,+31.8438807,-095.1563425
Cherokee,19,+42.7427375,-095.6332616
Cherokee,45,+35.0497962,-081.6076469
Cherokee,13,+34.2443166,-084.4750574
Cherry,31,+42.5713230,-101.0476532
Chesapeake,51,+36.6793761,-076.3017884
Cheshire,33,+42.9254596,-072.2481828
Chester,45,+34.6893424,-081.1612488
Chester,47,+35.4202530,-088.6113533
Chester,42,+39.9740287,-075.7497512
Chesterfield,51,+37.3784338,-077.5858474
Chesterfield,45,+34.6370178,-080.1592269
Cheyenne,08,+38.8356456,-102.6017914
Cheyenne,20,+39.7899014,-101.7273171
Cheyenne,31,+41.2142358,-103.0119289
Chickasaw,28,+33.9332767,-088.9475579
Chickasaw,19,+43.0597409,-092.3172101
Chicot,05,+33.2671393,-091.2971578
Childress,48,+34.5246235,-100.2081658
Chilton,01,+32.8540514,-086.7266071
Chippewa,26,+46.3218192,-084.5206297
Chippewa,27,+45.0286254,-095.5641082
Chippewa,55,+45.0690918,-091.2835054
Chisago,27,+45.5054439,-092.9038486
Chittenden,50,+44.4633289,-073.0694099
Choctaw,28,+33.3459638,-089.2513319
Choctaw,01,+31.9909539,-088.2488894
Choctaw,40,+34.0276995,-095.5540792
Chouteau,30,+47.8868343,-110.4362004
Chowan,37,+36.1289790,-076.6027521
Christian,29,+36.9697388,-093.1876139
Christian,21,+36.8920592,-087.4929864
Christian,17,+39.5455242,-089.2795927
Chugach,02,+60.4884737,-146.2030924
Churchill,32,+39.5377097,-118.2641661
Ciales,72,+18.2959127,-066.5155884
Cibola,35,+34.9282721,-107.9926805
Cidra,72,+18.1743906,-066.1616177
Cimarron,40,+36.7483904,-102.5176984
Citrus,12,+28.8502922,-082.5955524
Clackamas,41,+45.1604934,-122.1951274
Claiborne,22,+32.8271597,-092.9897278
Claiborne,47,+36.5015720,-083.6606975
Claiborne,28,+31.9728096,-090.9154239
Clallam,53,+48.1109034,-123.8898599
Clare,26,+43.9911368,-084.8383253
Clarendon,45,+33.6646821,-080.2178886
Clarion,42,+41.1981594,-079.4203691
Clark,32,+36.2141295,-115.0143977
Clark,05,+34.0533162,-093.1762085
Clark,16,+44.2902180,-112.3546128
Clark,46,+44.8552107,-097.7249124
Clark,17,+39.3323343,-087.7916832
Clark,39,+39.9170315,-083.7836760
Clark,18,+38.4762174,-085.7111221
Clark,29,+40.4072747,-091.7294720
